KIND OF MEDICINE,Item Name,MRP,Landing Cost,Batch No,Expiry Date,Current Stock,COMPANY,Sales Person,Sale Qty,Sale Rate
TABLET,RENOSIGHT TAB,185.0,135.87,PV47AB01,2026-05-01,0,01,,,
TABLET,ACITROM 2MG TAB,551.89,423.85,ACE25001,2028-01-01,0,ABBOTT,,,
pcs,ACITROM 3 TAB,641.06,492.33,ACC,2028-01-01,0,ABBOTT,,,
pcs,ACITROM 3 TAB,661.09,513.01,ACC25004,2028-05-01,0,ABBOTT,,,
pcs,AMBISTRYN S 1GM,17.09,12.55,NCL0014,2027-12-01,0,ABBOTT,,,
TABLET,ESGIPYRIN TAB,141.71,108.83,EGA25010,2027-02-01,0,ABBOTT,,,
TABLET,FEBUSTAT 40MG TAB,327.36,251.41,FSA25003,2027-02-01,0,ABBOTT,,,
TABLET,GLUFORMIN G 2MG TAB,306.14,235.11,AJL0013,2027-01-01,0,ABBOTT,,,
1 VIAL,ISIFRANE 100MG,1013.25,557.0,H21E23A,2027-07-01,0,ABBOTT,,,
1 VIAL,ISIFRANE 100MG,1013.25,557.0,H22E23D,2028-04-01,0,ABBOTT,,,
1 VIAL,ISIFRANE 100MG,1013.25,588.0,H28H23A,2028-06-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2533.12,1200.0,G121J23A,2028-07-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1323.0,G119H25A,2030-06-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1323.0,G95G25A,2030-05-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2533.12,1328.25,G152L24A,2029-09-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2533.12,1328.25,G15B24A,2028-12-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2533.12,1328.25,G33C25A,2030-01-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2533.12,1328.25,G95G25A,2030-05-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1328.25,G39D25A,2030-01-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1328.25,G51D25A,2030-02-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1328.25,G52E25A,2030-03-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1328.25,G81F25A,2030-04-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2577.2,1328.25,G95G25A,2030-05-01,0,ABBOTT,,,
mg,ISIFRANE 250MG,2533.12,1344.0,G152L24A,2029-09-01,0,ABBOTT,,,
pcs,KENACORT 40 MG,205.64,145.6,NPK0257,2027-11-01,0,ABBOTT,,,
pcs,LIMCEE 500MG TAB,25.87,20.08,HAJA5162,2027-02-01,0,ABBOTT,,,
pcs,LMWX 20MG,235.13,126.0,VBL0014,2026-12-01,0,ABBOTT,,,
pcs,LMWX 20MG,235.16,147.0,AESED0325,2027-11-01,0,ABBOTT,,,
mg,LMWX 60MG INJ,705.5,147.0,VBL0013,2026-12-01,0,ABBOTT,,,
mg,LMWX 60MG INJ,705.5,153.3,VBK003,2026-12-01,0,ABBOTT,,,
mg,LMWX 60MG INJ,705.5,153.3,VBK0128,2026-09-01,0,ABBOTT,,,
pcs,LMWX 80,940.68,315.0,VBL0015,2026-12-01,0,ABBOTT,,,
pcs,MEROPLAN S,5639.78,341.6,AQL0009,2027-01-01,0,ABBOTT,,,
1 VIAL,MEROPLAN S 1.5GM,5816.02,310.0,AQL0143,2027-09-01,0,ABBOTT,,,
1 VIAL,MEROPLAN S 1.5GM,5816.02,310.0,AQL0181,2027-10-01,0,ABBOTT,,,
1 VIAL,MEROPLAN S 1.5GM,5639.78,341.6,AQL0009,2027-01-01,0,ABBOTT,,,
1 VIAL,MEROPLAN S 1.5GM,5639.78,341.6,AQLOOO9,2027-01-01,0,ABBOTT,,,
TABLET,SORBITRATE 5MG TAB,46.48,35.7,SBA25005,2028-03-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8438.9,6300.0,1301088,2026-07-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8438.9,6300.0,1308990,2026-09-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8438.85,6342.0,1301088,2026-07-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8438.85,6342.0,1309000,2026-08-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8438.85,6457.5,1293801,2026-03-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8740.17,6457.5,1274671,2026-02-01,0,ABBOTT,,,
pcs,SURVANTA 4ML,8438.85,6720.0,1350607,2026-12-01,0,ABBOTT,,,
pcs,SURVANTA 8 ML INJ AMP,16877.7,13860.0,1353101,2026-12-01,0,ABBOTT,,,
pcs,SURVANTA 8 ML INJ AMP,16877.7,14490.0,1263020,2026-01-01,0,ABBOTT,,,
pcs,SURVANTA 8 ML INJ AMP,16877.7,14490.0,1294544,2026-04-01,0,ABBOTT,,,
pcs,SURVANTA 8 ML INJ AMP,17480.0,14490.0,1294544,2026-04-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56433.33,21900.0,TNV1B24C03,2027-01-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56433.33,21900.0,TNV1B24D05,2027-02-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56433.33,22299.98,TNV1R24BO7,2027-09-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56436.43,22299.98,TNV1B25C01,2028-01-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56436.43,22700.16,TNV1B24B0,2027-09-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56436.43,22700.16,TNV1B24B07,2027-09-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56436.43,22700.16,TNV1B25C0,2027-09-01,0,ABBOTT,,,
pcs,TENECTELEX 40MG,56436.43,22700.16,TNV1B25C01,2028-01-01,0,ABBOTT,,,
TABLET,THYRONORM 25MG TAB,185.4,142.39,TMB25262,2027-09-01,0,ABBOTT,,,
TABLET,THYRONORM 25MG TAB,197.77,155.05,TMB25115,2027-04-01,0,ABBOTT,,,
TABLET,TRIBET 1MG TAB,314.57,241.59,AJL0131,2027-07-01,0,ABBOTT,,,
mg,UDILIV 300 MG TAB,839.96,645.09,692929D7,2027-08-01,0,ABBOTT,,,
mg,UDILIV 300 MG TAB,866.27,665.3,722921D7,2027-11-01,0,ABBOTT,,,
mg,UDILIV 300 MG TAB,923.95,716.98,732935D7,2027-12-01,0,ABBOTT,,,
mg,UDILIV 300 MG TAB,923.95,724.37,752925D7,2028-02-01,0,ABBOTT,,,
